assetId,filename,family,subjectId,subjectTitle,simpleVisualDescription,aspectRatio,batchId,batchIndexWithinFamily,batchAssetCount,simpleCommand
VIS-CIV-T10-HERO,VIS-CIV-T10-HERO.webp,TIMELINE_ANCHOR,T10,蒙古时代与欧亚高耦合,表现“蒙古时代与欧亚高耦合”的时代主场景：代表性聚落、城市、制度、交通、贸易或技术；无文字，留叠字空间。,16:09,CIV-VIS-B02,2,10,继续 TIMELINE_ANCHOR 第二批 10 张
VIS-CIV-T11-HERO,VIS-CIV-T11-HERO.webp,TIMELINE_ANCHOR,T11,海洋阈值,表现“海洋阈值”的时代主场景：代表性聚落、城市、制度、交通、贸易或技术；无文字，留叠字空间。,16:09,CIV-VIS-B02,2,10,继续 TIMELINE_ANCHOR 第二批 10 张
VIS-CIV-T12-HERO,VIS-CIV-T12-HERO.webp,TIMELINE_ANCHOR,T12,第一代全球 Runtime,表现“第一代全球 Runtime”的时代主场景：代表性聚落、城市、制度、交通、贸易或技术；无文字，留叠字空间。,16:09,CIV-VIS-B02,2,10,继续 TIMELINE_ANCHOR 第二批 10 张
VIS-CIV-T13-HERO,VIS-CIV-T13-HERO.webp,TIMELINE_ANCHOR,T13,工业阈值,表现“工业阈值”的时代主场景：代表性聚落、城市、制度、交通、贸易或技术；无文字，留叠字空间。,16:09,CIV-VIS-B02,2,10,继续 TIMELINE_ANCHOR 第二批 10 张
VIS-CIV-T14-HERO,VIS-CIV-T14-HERO.webp,TIMELINE_ANCHOR,T14,工业分化,表现“工业分化”的时代主场景：代表性聚落、城市、制度、交通、贸易或技术；无文字，留叠字空间。,16:09,CIV-VIS-B02,2,10,继续 TIMELINE_ANCHOR 第二批 10 张
VIS-CIV-T15-HERO,VIS-CIV-T15-HERO.webp,TIMELINE_ANCHOR,T15,总体战争与重构,表现“总体战争与重构”的时代主场景：代表性聚落、城市、制度、交通、贸易或技术；无文字，留叠字空间。,16:09,CIV-VIS-B02,2,10,继续 TIMELINE_ANCHOR 第二批 10 张
VIS-CIV-T16-HERO,VIS-CIV-T16-HERO.webp,TIMELINE_ANCHOR,T16,战后多种现代性,表现“战后多种现代性”的时代主场景：代表性聚落、城市、制度、交通、贸易或技术；无文字，留叠字空间。,16:09,CIV-VIS-B02,2,10,继续 TIMELINE_ANCHOR 第二批 10 张
VIS-CIV-T17-HERO,VIS-CIV-T17-HERO.webp,TIMELINE_ANCHOR,T17,全球化与数字连接,表现“全球化与数字连接”的时代主场景：代表性聚落、城市、制度、交通、贸易或技术；无文字，留叠字空间。,16:09,CIV-VIS-B02,2,10,继续 TIMELINE_ANCHOR 第二批 10 张
VIS-CIV-T18-HERO,VIS-CIV-T18-HERO.webp,TIMELINE_ANCHOR,T18,平台与高耦合世界,表现“平台与高耦合世界”的时代主场景：代表性聚落、城市、制度、交通、贸易或技术；无文字，留叠字空间。,16:09,CIV-VIS-B02,2,10,继续 TIMELINE_ANCHOR 第二批 10 张
VIS-CIV-T19-HERO,VIS-CIV-T19-HERO.webp,TIMELINE_ANCHOR,T19,开放历史窗口,表现“开放历史窗口”的时代主场景：代表性聚落、城市、制度、交通、贸易或技术；无文字，留叠字空间。,16:09,CIV-VIS-B02,2,10,继续 TIMELINE_ANCHOR 第二批 10 张
VIS-CIV-CA-T00-01-HERO,VIS-CIV-CA-T00-01-HERO.webp,CASE_HERO,CA-T00-01,纳图夫聚落,表现“纳图夫聚落”（Levant）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B03,1,10,继续 CASE_HERO 第一批 10 张
VIS-CIV-CA-T00-02-HERO,VIS-CIV-CA-T00-02-HERO.webp,CASE_HERO,CA-T00-02,杰里科早期聚落,表现“杰里科早期聚落”（Levant）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B03,1,10,继续 CASE_HERO 第一批 10 张
VIS-CIV-CA-T00-03-HERO,VIS-CIV-CA-T00-03-HERO.webp,CASE_HERO,CA-T00-03,绳文群体,表现“绳文群体”（Japanese archipelago）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B03,1,10,继续 CASE_HERO 第一批 10 张
VIS-CIV-CA-T00-04-HERO,VIS-CIV-CA-T00-04-HERO.webp,CASE_HERO,CA-T00-04,长江早期栽培群体,表现“长江早期栽培群体”（Yangtze basin）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B03,1,10,继续 CASE_HERO 第一批 10 张
VIS-CIV-CA-T00-05-HERO,VIS-CIV-CA-T00-05-HERO.webp,CASE_HERO,CA-T00-05,撒哈拉牧业转型,表现“撒哈拉牧业转型”（Sahara）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B03,1,10,继续 CASE_HERO 第一批 10 张
VIS-CIV-CA-T00-06-HERO,VIS-CIV-CA-T00-06-HERO.webp,CASE_HERO,CA-T00-06,新几内亚高地栽培,表现“新几内亚高地栽培”（New Guinea highlands）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B03,1,10,继续 CASE_HERO 第一批 10 张
VIS-CIV-CA-T01-01-HERO,VIS-CIV-CA-T01-01-HERO.webp,CASE_HERO,CA-T01-01,恰塔霍裕克,表现“恰塔霍裕克”（Anatolia）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B03,1,10,继续 CASE_HERO 第一批 10 张
VIS-CIV-CA-T01-02-HERO,VIS-CIV-CA-T01-02-HERO.webp,CASE_HERO,CA-T01-02,欧贝德两河社会,表现“欧贝德两河社会”（Mesopotamia）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B03,1,10,继续 CASE_HERO 第一批 10 张
VIS-CIV-CA-T01-03-HERO,VIS-CIV-CA-T01-03-HERO.webp,CASE_HERO,CA-T01-03,仰韶社会,表现“仰韶社会”（Yellow River basin）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B03,1,10,继续 CASE_HERO 第一批 10 张
VIS-CIV-CA-T01-04-HERO,VIS-CIV-CA-T01-04-HERO.webp,CASE_HERO,CA-T01-04,梅赫尔格尔,表现“梅赫尔格尔”（Indus borderlands）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B03,1,10,继续 CASE_HERO 第一批 10 张
VIS-CIV-CA-T01-05-HERO,VIS-CIV-CA-T01-05-HERO.webp,CASE_HERO,CA-T01-05,库库泰尼—特里波利耶,表现“库库泰尼—特里波利耶”（Eastern Europe）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B04,2,10,继续 CASE_HERO 第二批 10 张
VIS-CIV-CA-T01-06-HERO,VIS-CIV-CA-T01-06-HERO.webp,CASE_HERO,CA-T01-06,北奇科前城市形成,表现“北奇科前城市形成”（Peruvian coast）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B04,2,10,继续 CASE_HERO 第二批 10 张
VIS-CIV-CA-T02-01-HERO,VIS-CIV-CA-T02-01-HERO.webp,CASE_HERO,CA-T02-01,苏美尔城市国家,表现“苏美尔城市国家”（Southern Mesopotamia）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B04,2,10,继续 CASE_HERO 第二批 10 张
VIS-CIV-CA-T02-02-HERO,VIS-CIV-CA-T02-02-HERO.webp,CASE_HERO,CA-T02-02,早王朝两河,表现“早王朝两河”（Mesopotamia）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B04,2,10,继续 CASE_HERO 第二批 10 张
VIS-CIV-CA-T02-03-HERO,VIS-CIV-CA-T02-03-HERO.webp,CASE_HERO,CA-T02-03,古王国埃及,表现“古王国埃及”（Nile Valley）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B04,2,10,继续 CASE_HERO 第二批 10 张
VIS-CIV-CA-T02-04-HERO,VIS-CIV-CA-T02-04-HERO.webp,CASE_HERO,CA-T02-04,印度河城市文明,表现“印度河城市文明”（Indus basin）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B04,2,10,继续 CASE_HERO 第二批 10 张
VIS-CIV-CA-T02-05-HERO,VIS-CIV-CA-T02-05-HERO.webp,CASE_HERO,CA-T02-05,卡拉尔—苏佩,表现“卡拉尔—苏佩”（Central Andean coast）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B04,2,10,继续 CASE_HERO 第二批 10 张
VIS-CIV-CA-T02-06-HERO,VIS-CIV-CA-T02-06-HERO.webp,CASE_HERO,CA-T02-06,龙山网络,表现“龙山网络”（Yellow River and eastern China）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B04,2,10,继续 CASE_HERO 第二批 10 张
VIS-CIV-CA-T03-01-HERO,VIS-CIV-CA-T03-01-HERO.webp,CASE_HERO,CA-T03-01,中王国埃及,表现“中王国埃及”（Nile Valley）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B04,2,10,继续 CASE_HERO 第二批 10 张
VIS-CIV-CA-T03-02-HERO,VIS-CIV-CA-T03-02-HERO.webp,CASE_HERO,CA-T03-02,古巴比伦两河,表现“古巴比伦两河”（Mesopotamia）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B04,2,10,继续 CASE_HERO 第二批 10 张
VIS-CIV-CA-T03-03-HERO,VIS-CIV-CA-T03-03-HERO.webp,CASE_HERO,CA-T03-03,米诺斯克里特,表现“米诺斯克里特”（Aegean）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B05,3,10,继续 CASE_HERO 第三批 10 张
VIS-CIV-CA-T03-04-HERO,VIS-CIV-CA-T03-04-HERO.webp,CASE_HERO,CA-T03-04,商文明,表现“商文明”（Yellow River basin）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B05,3,10,继续 CASE_HERO 第三批 10 张
VIS-CIV-CA-T03-05-HERO,VIS-CIV-CA-T03-05-HERO.webp,CASE_HERO,CA-T03-05,赫梯王国,表现“赫梯王国”（Anatolia）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B05,3,10,继续 CASE_HERO 第三批 10 张
VIS-CIV-CA-T03-06-HERO,VIS-CIV-CA-T03-06-HERO.webp,CASE_HERO,CA-T03-06,迈锡尼希腊,表现“迈锡尼希腊”（Aegean）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B05,3,10,继续 CASE_HERO 第三批 10 张
VIS-CIV-CA-T04-01-HERO,VIS-CIV-CA-T04-01-HERO.webp,CASE_HERO,CA-T04-01,新亚述形成,表现“新亚述形成”（Mesopotamia and Levant）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B05,3,10,继续 CASE_HERO 第三批 10 张
VIS-CIV-CA-T04-02-HERO,VIS-CIV-CA-T04-02-HERO.webp,CASE_HERO,CA-T04-02,腓尼基海洋城市,表现“腓尼基海洋城市”（Eastern Mediterranean）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B05,3,10,继续 CASE_HERO 第三批 10 张
VIS-CIV-CA-T04-03-HERO,VIS-CIV-CA-T04-03-HERO.webp,CASE_HERO,CA-T04-03,周文明,表现“周文明”（North China）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B05,3,10,继续 CASE_HERO 第三批 10 张
VIS-CIV-CA-T04-04-HERO,VIS-CIV-CA-T04-04-HERO.webp,CASE_HERO,CA-T04-04,吠陀政治体,表现“吠陀政治体”（North India）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B05,3,10,继续 CASE_HERO 第三批 10 张
VIS-CIV-CA-T04-05-HERO,VIS-CIV-CA-T04-05-HERO.webp,CASE_HERO,CA-T04-05,奥尔梅克中心,表现“奥尔梅克中心”（Mesoamerica）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B05,3,10,继续 CASE_HERO 第三批 10 张
VIS-CIV-CA-T04-06-HERO,VIS-CIV-CA-T04-06-HERO.webp,CASE_HERO,CA-T04-06,库施形成,表现“库施形成”（Upper Nile）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B05,3,10,继续 CASE_HERO 第三批 10 张
VIS-CIV-CA-T05-01-HERO,VIS-CIV-CA-T05-01-HERO.webp,CASE_HERO,CA-T05-01,阿契美尼德波斯,表现“阿契美尼德波斯”（West Asia to Central Asia）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B06,4,10,继续 CASE_HERO 第四批 10 张
VIS-CIV-CA-T05-02-HERO,VIS-CIV-CA-T05-02-HERO.webp,CASE_HERO,CA-T05-02,古典希腊城邦,表现“古典希腊城邦”（Aegean and eastern Mediterranean）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B06,4,10,继续 CASE_HERO 第四批 10 张
VIS-CIV-CA-T05-03-HERO,VIS-CIV-CA-T05-03-HERO.webp,CASE_HERO,CA-T05-03,摩揭陀与早期孔雀形成,表现“摩揭陀与早期孔雀形成”（Ganges basin）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B06,4,10,继续 CASE_HERO 第四批 10 张
VIS-CIV-CA-T05-04-HERO,VIS-CIV-CA-T05-04-HERO.webp,CASE_HERO,CA-T05-04,战国中国,表现“战国中国”（East Asia）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B06,4,10,继续 CASE_HERO 第四批 10 张
VIS-CIV-CA-T05-05-HERO,VIS-CIV-CA-T05-05-HERO.webp,CASE_HERO,CA-T05-05,迦太基海洋体系,表现“迦太基海洋体系”（Western Mediterranean）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B06,4,10,继续 CASE_HERO 第四批 10 张
VIS-CIV-CA-T05-06-HERO,VIS-CIV-CA-T05-06-HERO.webp,CASE_HERO,CA-T05-06,萨波特克蒙特阿尔班,表现“萨波特克蒙特阿尔班”（Oaxaca）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B06,4,10,继续 CASE_HERO 第四批 10 张
VIS-CIV-CA-T06-01-HERO,VIS-CIV-CA-T06-01-HERO.webp,CASE_HERO,CA-T06-01,汉帝国,表现“汉帝国”（East Asia）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B06,4,10,继续 CASE_HERO 第四批 10 张
VIS-CIV-CA-T06-02-HERO,VIS-CIV-CA-T06-02-HERO.webp,CASE_HERO,CA-T06-02,罗马帝国,表现“罗马帝国”（Mediterranean world）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B06,4,10,继续 CASE_HERO 第四批 10 张
VIS-CIV-CA-T06-03-HERO,VIS-CIV-CA-T06-03-HERO.webp,CASE_HERO,CA-T06-03,孔雀帝国,表现“孔雀帝国”（South Asia）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B06,4,10,继续 CASE_HERO 第四批 10 张
VIS-CIV-CA-T06-04-HERO,VIS-CIV-CA-T06-04-HERO.webp,CASE_HERO,CA-T06-04,安息伊朗,表现“安息伊朗”（Iran and Mesopotamia）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B06,4,10,继续 CASE_HERO 第四批 10 张
VIS-CIV-CA-T06-05-HERO,VIS-CIV-CA-T06-05-HERO.webp,CASE_HERO,CA-T06-05,贵霜帝国,表现“贵霜帝国”（Central and South Asia）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B07,5,10,继续 CASE_HERO 第五批 10 张
VIS-CIV-CA-T06-06-HERO,VIS-CIV-CA-T06-06-HERO.webp,CASE_HERO,CA-T06-06,特奥蒂瓦坎,表现“特奥蒂瓦坎”（Central Mexico）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B07,5,10,继续 CASE_HERO 第五批 10 张
VIS-CIV-CA-T07-01-HERO,VIS-CIV-CA-T07-01-HERO.webp,CASE_HERO,CA-T07-01,古典玛雅城市,表现“古典玛雅城市”（中美洲）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B07,5,10,继续 CASE_HERO 第五批 10 张
VIS-CIV-CA-T07-02-HERO,VIS-CIV-CA-T07-02-HERO.webp,CASE_HERO,CA-T07-02,早期拜占庭,表现“早期拜占庭”（Eastern Mediterranean）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B07,5,10,继续 CASE_HERO 第五批 10 张
VIS-CIV-CA-T07-03-HERO,VIS-CIV-CA-T07-03-HERO.webp,CASE_HERO,CA-T07-03,萨珊伊朗,表现“萨珊伊朗”（Iran and Mesopotamia）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B07,5,10,继续 CASE_HERO 第五批 10 张
VIS-CIV-CA-T07-04-HERO,VIS-CIV-CA-T07-04-HERO.webp,CASE_HERO,CA-T07-04,南北朝中国,表现“南北朝中国”（China）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B07,5,10,继续 CASE_HERO 第五批 10 张
VIS-CIV-CA-T07-05-HERO,VIS-CIV-CA-T07-05-HERO.webp,CASE_HERO,CA-T07-05,笈多及后笈多南亚,表现“笈多及后笈多南亚”（南亚）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B07,5,10,继续 CASE_HERO 第五批 10 张
VIS-CIV-CA-T07-06-HERO,VIS-CIV-CA-T07-06-HERO.webp,CASE_HERO,CA-T07-06,阿克苏姆,表现“阿克苏姆”（Horn of Africa）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B07,5,10,继续 CASE_HERO 第五批 10 张
VIS-CIV-CA-T08-01-HERO,VIS-CIV-CA-T08-01-HERO.webp,CASE_HERO,CA-T08-01,唐代帝国—都市网络,表现“唐代帝国—都市网络”（East Asia）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B07,5,10,继续 CASE_HERO 第五批 10 张
VIS-CIV-CA-T08-02-HERO,VIS-CIV-CA-T08-02-HERO.webp,CASE_HERO,CA-T08-02,倭马亚哈里发,表现“倭马亚哈里发”（West Asia to Iberia）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B07,5,10,继续 CASE_HERO 第五批 10 张
VIS-CIV-CA-T08-03-HERO,VIS-CIV-CA-T08-03-HERO.webp,CASE_HERO,CA-T08-03,加洛林欧洲,表现“加洛林欧洲”（Western Europe）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B08,6,10,继续 CASE_HERO 第六批 10 张
VIS-CIV-CA-T08-04-HERO,VIS-CIV-CA-T08-04-HERO.webp,CASE_HERO,CA-T08-04,室利佛逝,表现“室利佛逝”（Maritime Southeast Asia）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B08,6,10,继续 CASE_HERO 第六批 10 张
VIS-CIV-CA-T08-05-HERO,VIS-CIV-CA-T08-05-HERO.webp,CASE_HERO,CA-T08-05,奈良—平安日本,表现“奈良—平安日本”（Japanese archipelago）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B08,6,10,继续 CASE_HERO 第六批 10 张
VIS-CIV-CA-T08-06-HERO,VIS-CIV-CA-T08-06-HERO.webp,CASE_HERO,CA-T08-06,阿拔斯哈里发,表现“阿拔斯哈里发”（West Asia and connected Islamic world）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B08,6,10,继续 CASE_HERO 第六批 10 张
VIS-CIV-CA-T09-01-HERO,VIS-CIV-CA-T09-01-HERO.webp,CASE_HERO,CA-T09-01,宋中国,表现“宋中国”（East Asia）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B08,6,10,继续 CASE_HERO 第六批 10 张
VIS-CIV-CA-T09-02-HERO,VIS-CIV-CA-T09-02-HERO.webp,CASE_HERO,CA-T09-02,朱罗海洋体系,表现“朱罗海洋体系”（Indian Ocean）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B08,6,10,继续 CASE_HERO 第六批 10 张
VIS-CIV-CA-T09-03-HERO,VIS-CIV-CA-T09-03-HERO.webp,CASE_HERO,CA-T09-03,中期拜占庭,表现“中期拜占庭”（Eastern Mediterranean）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B08,6,10,继续 CASE_HERO 第六批 10 张
VIS-CIV-CA-T09-04-HERO,VIS-CIV-CA-T09-04-HERO.webp,CASE_HERO,CA-T09-04,伽色尼—古尔网络,表现“伽色尼—古尔网络”（Central and South Asia）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B08,6,10,继续 CASE_HERO 第六批 10 张
VIS-CIV-CA-T09-05-HERO,VIS-CIV-CA-T09-05-HERO.webp,CASE_HERO,CA-T09-05,密西西比卡霍基亚,表现“密西西比卡霍基亚”（Mississippi basin）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B08,6,10,继续 CASE_HERO 第六批 10 张
VIS-CIV-CA-T09-06-HERO,VIS-CIV-CA-T09-06-HERO.webp,CASE_HERO,CA-T09-06,加纳—萨赫勒贸易体系,表现“加纳—萨赫勒贸易体系”（West Africa and Sahara）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B08,6,10,继续 CASE_HERO 第六批 10 张
VIS-CIV-CA-T10-01-HERO,VIS-CIV-CA-T10-01-HERO.webp,CASE_HERO,CA-T10-01,蒙古帝国,表现“蒙古帝国”（Eurasia）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B09,7,10,继续 CASE_HERO 第七批 10 张
VIS-CIV-CA-T10-02-HERO,VIS-CIV-CA-T10-02-HERO.webp,CASE_HERO,CA-T10-02,元中国,表现“元中国”（East Asia）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B09,7,10,继续 CASE_HERO 第七批 10 张
VIS-CIV-CA-T10-03-HERO,VIS-CIV-CA-T10-03-HERO.webp,CASE_HERO,CA-T10-03,德里苏丹国,表现“德里苏丹国”（North India）最有辨识度的城市、建筑、公共空间、港口/道路或政治宗教中心；时代准确，无文字。,4:03,CIV-VIS-B09,7,10,继续 CASE_HERO 第七批 10 张
